slot_number,day_of_week,hour_of_day,is_occupied
A1,0,6,0
A1,0,7,1
A1,0,8,1
A1,0,9,1
A1,0,10,1
A1,0,11,1
A1,0,12,0
A1,0,13,1
A1,0,14,1
A1,0,15,1
A1,0,16,1
A1,0,17,1
A1,0,18,0
A1,0,19,0
A1,0,20,0
A1,0,21,0
A1,0,22,0
A1,1,6,0
A1,1,7,1
A1,1,8,1
A1,1,9,1
A1,1,10,1
A1,1,11,1
A1,1,12,1
A1,1,13,0
A1,1,14,1
A1,1,15,1
A1,1,16,1
A1,1,17,0
A1,1,18,0
A1,1,19,0
A1,1,20,0
A1,1,21,0
A1,1,22,0
A1,2,6,0
A1,2,7,1
A1,2,8,1
A1,2,9,1
A1,2,10,1
A1,2,11,0
A1,2,12,1
A1,2,13,1
A1,2,14,1
A1,2,15,0
A1,2,16,1
A1,2,17,1
A1,2,18,0
A1,2,19,0
A1,2,20,0
A1,2,21,0
A1,2,22,0
A1,3,6,0
A1,3,7,1
A1,3,8,1
A1,3,9,1
A1,3,10,1
A1,3,11,1
A1,3,12,0
A1,3,13,1
A1,3,14,1
A1,3,15,1
A1,3,16,0
A1,3,17,1
A1,3,18,0
A1,3,19,0
A1,3,20,0
A1,3,21,0
A1,3,22,0
A1,4,6,0
A1,4,7,1
A1,4,8,1
A1,4,9,1
A1,4,10,1
A1,4,11,1
A1,4,12,1
A1,4,13,1
A1,4,14,1
A1,4,15,1
A1,4,16,1
A1,4,17,1
A1,4,18,0
A1,4,19,0
A1,4,20,0
A1,4,21,0
A1,4,22,0
A1,5,6,0
A1,5,7,0
A1,5,8,0
A1,5,9,1
A1,5,10,1
A1,5,11,1
A1,5,12,0
A1,5,13,0
A1,5,14,0
A1,5,15,1
A1,5,16,0
A1,5,17,0
A1,5,18,0
A1,5,19,0
A1,5,20,0
A1,5,21,0
A1,5,22,0
A1,6,6,0
A1,6,7,0
A1,6,8,0
A1,6,9,0
A1,6,10,0
A1,6,11,1
A1,6,12,0
A1,6,13,0
A1,6,14,0
A1,6,15,0
A1,6,16,0
A1,6,17,0
A1,6,18,0
A1,6,19,0
A1,6,20,0
A1,6,21,0
A1,6,22,0
A2,0,6,0
A2,0,7,0
A2,0,8,1
A2,0,9,1
A2,0,10,1
A2,0,11,1
A2,0,12,1
A2,0,13,0
A2,0,14,1
A2,0,15,1
A2,0,16,1
A2,0,17,0
A2,0,18,0
A2,0,19,0
A2,0,20,0
A2,0,21,0
A2,0,22,0
A2,1,6,0
A2,1,7,0
A2,1,8,1
A2,1,9,1
A2,1,10,0
A2,1,11,1
A2,1,12,1
A2,1,13,1
A2,1,14,0
A2,1,15,1
A2,1,16,1
A2,1,17,0
A2,1,18,0
A2,1,19,0
A2,1,20,0
A2,1,21,0
A2,1,22,0
A2,2,6,0
A2,2,7,0
A2,2,8,1
A2,2,9,1
A2,2,10,1
A2,2,11,1
A2,2,12,0
A2,2,13,1
A2,2,14,1
A2,2,15,1
A2,2,16,0
A2,2,17,1
A2,2,18,0
A2,2,19,0
A2,2,20,0
A2,2,21,0
A2,2,22,0
A2,3,6,0
A2,3,7,0
A2,3,8,1
A2,3,9,1
A2,3,10,1
A2,3,11,0
A2,3,12,1
A2,3,13,1
A2,3,14,0
A2,3,15,1
A2,3,16,1
A2,3,17,0
A2,3,18,0
A2,3,19,0
A2,3,20,0
A2,3,21,0
A2,3,22,0
A2,4,6,0
A2,4,7,1
A2,4,8,1
A2,4,9,1
A2,4,10,1
A2,4,11,1
A2,4,12,1
A2,4,13,0
A2,4,14,1
A2,4,15,1
A2,4,16,1
A2,4,17,1
A2,4,18,0
A2,4,19,0
A2,4,20,0
A2,4,21,0
A2,4,22,0
A2,5,6,0
A2,5,7,0
A2,5,8,0
A2,5,9,1
A2,5,10,1
A2,5,11,0
A2,5,12,0
A2,5,13,1
A2,5,14,0
A2,5,15,0
A2,5,16,0
A2,5,17,0
A2,5,18,0
A2,5,19,0
A2,5,20,0
A2,5,21,0
A2,5,22,0
A2,6,6,0
A2,6,7,0
A2,6,8,0
A2,6,9,0
A2,6,10,1
A2,6,11,0
A2,6,12,0
A2,6,13,0
A2,6,14,0
A2,6,15,0
A2,6,16,0
A2,6,17,0
A2,6,18,0
A2,6,19,0
A2,6,20,0
A2,6,21,0
A2,6,22,0
A3,0,6,0
A3,0,7,1
A3,0,8,1
A3,0,9,1
A3,0,10,1
A3,0,11,0
A3,0,12,1
A3,0,13,1
A3,0,14,1
A3,0,15,0
A3,0,16,1
A3,0,17,1
A3,0,18,0
A3,0,19,0
A3,0,20,0
A3,0,21,0
A3,0,22,0
A3,1,6,0
A3,1,7,1
A3,1,8,1
A3,1,9,0
A3,1,10,1
A3,1,11,1
A3,1,12,0
A3,1,13,1
A3,1,14,1
A3,1,15,1
A3,1,16,0
A3,1,17,1
A3,1,18,0
A3,1,19,0
A3,1,20,0
A3,1,21,0
A3,1,22,0
A3,2,6,0
A3,2,7,0
A3,2,8,1
A3,2,9,1
A3,2,10,1
A3,2,11,1
A3,2,12,1
A3,2,13,0
A3,2,14,1
A3,2,15,1
A3,2,16,1
A3,2,17,0
A3,2,18,0
A3,2,19,0
A3,2,20,0
A3,2,21,0
A3,2,22,0
A3,3,6,0
A3,3,7,1
A3,3,8,1
A3,3,9,1
A3,3,10,0
A3,3,11,1
A3,3,12,1
A3,3,13,1
A3,3,14,0
A3,3,15,1
A3,3,16,1
A3,3,17,1
A3,3,18,0
A3,3,19,0
A3,3,20,0
A3,3,21,0
A3,3,22,0
A3,4,6,0
A3,4,7,1
A3,4,8,1
A3,4,9,1
A3,4,10,1
A3,4,11,1
A3,4,12,0
A3,4,13,1
A3,4,14,1
A3,4,15,1
A3,4,16,1
A3,4,17,1
A3,4,18,0
A3,4,19,0
A3,4,20,0
A3,4,21,0
A3,4,22,0
A3,5,6,0
A3,5,7,0
A3,5,8,0
A3,5,9,0
A3,5,10,1
A3,5,11,1
A3,5,12,0
A3,5,13,0
A3,5,14,1
A3,5,15,0
A3,5,16,0
A3,5,17,0
A3,5,18,0
A3,5,19,0
A3,5,20,0
A3,5,21,0
A3,5,22,0
A3,6,6,0
A3,6,7,0
A3,6,8,0
A3,6,9,0
A3,6,10,0
A3,6,11,0
A3,6,12,1
A3,6,13,0
A3,6,14,0
A3,6,15,0
A3,6,16,0
A3,6,17,0
A3,6,18,0
A3,6,19,0
A3,6,20,0
A3,6,21,0
A3,6,22,0
B1,0,6,0
B1,0,7,1
B1,0,8,1
B1,0,9,1
B1,0,10,1
B1,0,11,1
B1,0,12,0
B1,0,13,1
B1,0,14,1
B1,0,15,1
B1,0,16,1
B1,0,17,1
B1,0,18,0
B1,0,19,0
B1,0,20,0
B1,0,21,0
B1,0,22,0
B1,1,6,0
B1,1,7,0
B1,1,8,1
B1,1,9,1
B1,1,10,1
B1,1,11,0
B1,1,12,1
B1,1,13,1
B1,1,14,1
B1,1,15,0
B1,1,16,1
B1,1,17,1
B1,1,18,0
B1,1,19,0
B1,1,20,0
B1,1,21,0
B1,1,22,0
B1,2,6,0
B1,2,7,1
B1,2,8,1
B1,2,9,0
B1,2,10,1
B1,2,11,1
B1,2,12,1
B1,2,13,0
B1,2,14,1
B1,2,15,1
B1,2,16,0
B1,2,17,1
B1,2,18,0
B1,2,19,0
B1,2,20,0
B1,2,21,0
B1,2,22,0
B1,3,6,0
B1,3,7,1
B1,3,8,1
B1,3,9,1
B1,3,10,0
B1,3,11,1
B1,3,12,1
B1,3,13,1
B1,3,14,1
B1,3,15,0
B1,3,16,1
B1,3,17,0
B1,3,18,0
B1,3,19,0
B1,3,20,0
B1,3,21,0
B1,3,22,0
B1,4,6,0
B1,4,7,1
B1,4,8,1
B1,4,9,1
B1,4,10,1
B1,4,11,1
B1,4,12,1
B1,4,13,1
B1,4,14,1
B1,4,15,1
B1,4,16,1
B1,4,17,1
B1,4,18,1
B1,4,19,0
B1,4,20,0
B1,4,21,0
B1,4,22,0
B1,5,6,0
B1,5,7,0
B1,5,8,0
B1,5,9,1
B1,5,10,1
B1,5,11,0
B1,5,12,1
B1,5,13,0
B1,5,14,0
B1,5,15,1
B1,5,16,0
B1,5,17,0
B1,5,18,0
B1,5,19,0
B1,5,20,0
B1,5,21,0
B1,5,22,0
B1,6,6,0
B1,6,7,0
B1,6,8,0
B1,6,9,0
B1,6,10,1
B1,6,11,0
B1,6,12,0
B1,6,13,0
B1,6,14,1
B1,6,15,0
B1,6,16,0
B1,6,17,0
B1,6,18,0
B1,6,19,0
B1,6,20,0
B1,6,21,0
B1,6,22,0
B2,0,6,0
B2,0,7,1
B2,0,8,1
B2,0,9,1
B2,0,10,0
B2,0,11,1
B2,0,12,1
B2,0,13,1
B2,0,14,0
B2,0,15,1
B2,0,16,1
B2,0,17,1
B2,0,18,0
B2,0,19,0
B2,0,20,0
B2,0,21,0
B2,0,22,0
B2,1,6,0
B2,1,7,0
B2,1,8,1
B2,1,9,1
B2,1,10,1
B2,1,11,1
B2,1,12,0
B2,1,13,1
B2,1,14,1
B2,1,15,1
B2,1,16,0
B2,1,17,1
B2,1,18,0
B2,1,19,0
B2,1,20,0
B2,1,21,0
B2,1,22,0
B2,2,6,0
B2,2,7,1
B2,2,8,1
B2,2,9,1
B2,2,10,1
B2,2,11,0
B2,2,12,1
B2,2,13,1
B2,2,14,1
B2,2,15,0
B2,2,16,1
B2,2,17,1
B2,2,18,0
B2,2,19,0
B2,2,20,0
B2,2,21,0
B2,2,22,0
B2,3,6,0
B2,3,7,0
B2,3,8,1
B2,3,9,1
B2,3,10,1
B2,3,11,1
B2,3,12,1
B2,3,13,0
B2,3,14,1
B2,3,15,1
B2,3,16,1
B2,3,17,0
B2,3,18,0
B2,3,19,0
B2,3,20,0
B2,3,21,0
B2,3,22,0
B2,4,6,0
B2,4,7,1
B2,4,8,1
B2,4,9,1
B2,4,10,1
B2,4,11,1
B2,4,12,1
B2,4,13,1
B2,4,14,1
B2,4,15,1
B2,4,16,1
B2,4,17,1
B2,4,18,0
B2,4,19,0
B2,4,20,0
B2,4,21,0
B2,4,22,0
B2,5,6,0
B2,5,7,0
B2,5,8,0
B2,5,9,0
B2,5,10,1
B2,5,11,1
B2,5,12,0
B2,5,13,0
B2,5,14,1
B2,5,15,0
B2,5,16,0
B2,5,17,0
B2,5,18,0
B2,5,19,0
B2,5,20,0
B2,5,21,0
B2,5,22,0
B2,6,6,0
B2,6,7,0
B2,6,8,0
B2,6,9,0
B2,6,10,0
B2,6,11,1
B2,6,12,0
B2,6,13,0
B2,6,14,0
B2,6,15,0
B2,6,16,0
B2,6,17,0
B2,6,18,0
B2,6,19,0
B2,6,20,0
B2,6,21,0
B2,6,22,0
B3,0,6,0
B3,0,7,1
B3,0,8,1
B3,0,9,1
B3,0,10,1
B3,0,11,1
B3,0,12,1
B3,0,13,0
B3,0,14,1
B3,0,15,1
B3,0,16,1
B3,0,17,0
B3,0,18,0
B3,0,19,0
B3,0,20,0
B3,0,21,0
B3,0,22,0
B3,1,6,0
B3,1,7,0
B3,1,8,1
B3,1,9,1
B3,1,10,1
B3,1,11,1
B3,1,12,0
B3,1,13,1
B3,1,14,1
B3,1,15,0
B3,1,16,1
B3,1,17,1
B3,1,18,0
B3,1,19,0
B3,1,20,0
B3,1,21,0
B3,1,22,0
B3,2,6,0
B3,2,7,1
B3,2,8,1
B3,2,9,1
B3,2,10,0
B3,2,11,1
B3,2,12,1
B3,2,13,1
B3,2,14,0
B3,2,15,1
B3,2,16,1
B3,2,17,1
B3,2,18,0
B3,2,19,0
B3,2,20,0
B3,2,21,0
B3,2,22,0
B3,3,6,0
B3,3,7,1
B3,3,8,1
B3,3,9,0
B3,3,10,1
B3,3,11,1
B3,3,12,1
B3,3,13,0
B3,3,14,1
B3,3,15,1
B3,3,16,0
B3,3,17,1
B3,3,18,0
B3,3,19,0
B3,3,20,0
B3,3,21,0
B3,3,22,0
B3,4,6,0
B3,4,7,1
B3,4,8,1
B3,4,9,1
B3,4,10,1
B3,4,11,1
B3,4,12,1
B3,4,13,1
B3,4,14,1
B3,4,15,1
B3,4,16,1
B3,4,17,1
B3,4,18,1
B3,4,19,0
B3,4,20,0
B3,4,21,0
B3,4,22,0
B3,5,6,0
B3,5,7,0
B3,5,8,0
B3,5,9,1
B3,5,10,0
B3,5,11,1
B3,5,12,0
B3,5,13,0
B3,5,14,0
B3,5,15,1
B3,5,16,0
B3,5,17,0
B3,5,18,0
B3,5,19,0
B3,5,20,0
B3,5,21,0
B3,5,22,0
B3,6,6,0
B3,6,7,0
B3,6,8,0
B3,6,9,0
B3,6,10,0
B3,6,11,0
B3,6,12,1
B3,6,13,0
B3,6,14,0
B3,6,15,0
B3,6,16,0
B3,6,17,0
B3,6,18,0
B3,6,19,0
B3,6,20,0
B3,6,21,0
B3,6,22,0
C1,0,6,0
C1,0,7,1
C1,0,8,1
C1,0,9,1
C1,0,10,1
C1,0,11,1
C1,0,12,0
C1,0,13,1
C1,0,14,1
C1,0,15,1
C1,0,16,1
C1,0,17,1
C1,0,18,0
C1,0,19,0
C1,0,20,0
C1,0,21,0
C1,0,22,0
C1,1,6,0
C1,1,7,0
C1,1,8,1
C1,1,9,1
C1,1,10,1
C1,1,11,0
C1,1,12,1
C1,1,13,1
C1,1,14,1
C1,1,15,1
C1,1,16,0
C1,1,17,1
C1,1,18,0
C1,1,19,0
C1,1,20,0
C1,1,21,0
C1,1,22,0
C1,2,6,0
C1,2,7,1
C1,2,8,1
C1,2,9,1
C1,2,10,0
C1,2,11,1
C1,2,12,0
C1,2,13,1
C1,2,14,1
C1,2,15,1
C1,2,16,1
C1,2,17,0
C1,2,18,0
C1,2,19,0
C1,2,20,0
C1,2,21,0
C1,2,22,0
C1,3,6,0
C1,3,7,1
C1,3,8,1
C1,3,9,0
C1,3,10,1
C1,3,11,1
C1,3,12,1
C1,3,13,0
C1,3,14,1
C1,3,15,1
C1,3,16,1
C1,3,17,1
C1,3,18,0
C1,3,19,0
C1,3,20,0
C1,3,21,0
C1,3,22,0
C1,4,6,0
C1,4,7,1
C1,4,8,1
C1,4,9,1
C1,4,10,1
C1,4,11,1
C1,4,12,1
C1,4,13,1
C1,4,14,1
C1,4,15,1
C1,4,16,1
C1,4,17,1
C1,4,18,1
C1,4,19,0
C1,4,20,0
C1,4,21,0
C1,4,22,0
C1,5,6,0
C1,5,7,0
C1,5,8,0
C1,5,9,1
C1,5,10,1
C1,5,11,0
C1,5,12,0
C1,5,13,1
C1,5,14,0
C1,5,15,0
C1,5,16,0
C1,5,17,0
C1,5,18,0
C1,5,19,0
C1,5,20,0
C1,5,21,0
C1,5,22,0
C1,6,6,0
C1,6,7,0
C1,6,8,0
C1,6,9,0
C1,6,10,0
C1,6,11,1
C1,6,12,0
C1,6,13,0
C1,6,14,0
C1,6,15,0
C1,6,16,0
C1,6,17,0
C1,6,18,0
C1,6,19,0
C1,6,20,0
C1,6,21,0
C1,6,22,0
C2,0,6,0
C2,0,7,1
C2,0,8,1
C2,0,9,1
C2,0,10,1
C2,0,11,0
C2,0,12,1
C2,0,13,1
C2,0,14,0
C2,0,15,1
C2,0,16,1
C2,0,17,1
C2,0,18,0
C2,0,19,0
C2,0,20,0
C2,0,21,0
C2,0,22,0
C2,1,6,0
C2,1,7,0
C2,1,8,1
C2,1,9,1
C2,1,10,1
C2,1,11,1
C2,1,12,1
C2,1,13,0
C2,1,14,1
C2,1,15,1
C2,1,16,0
C2,1,17,1
C2,1,18,0
C2,1,19,0
C2,1,20,0
C2,1,21,0
C2,1,22,0
C2,2,6,0
C2,2,7,0
C2,2,8,1
C2,2,9,1
C2,2,10,0
C2,2,11,1
C2,2,12,1
C2,2,13,1
C2,2,14,1
C2,2,15,0
C2,2,16,1
C2,2,17,0
C2,2,18,0
C2,2,19,0
C2,2,20,0
C2,2,21,0
C2,2,22,0
C2,3,6,0
C2,3,7,1
C2,3,8,1
C2,3,9,1
C2,3,10,1
C2,3,11,0
C2,3,12,1
C2,3,13,1
C2,3,14,1
C2,3,15,1
C2,3,16,0
C2,3,17,1
C2,3,18,0
C2,3,19,0
C2,3,20,0
C2,3,21,0
C2,3,22,0
C2,4,6,0
C2,4,7,1
C2,4,8,1
C2,4,9,1
C2,4,10,1
C2,4,11,1
C2,4,12,0
C2,4,13,1
C2,4,14,1
C2,4,15,1
C2,4,16,1
C2,4,17,1
C2,4,18,1
C2,4,19,0
C2,4,20,0
C2,4,21,0
C2,4,22,0
C2,5,6,0
C2,5,7,0
C2,5,8,0
C2,5,9,0
C2,5,10,1
C2,5,11,0
C2,5,12,1
C2,5,13,0
C2,5,14,0
C2,5,15,1
C2,5,16,0
C2,5,17,0
C2,5,18,0
C2,5,19,0
C2,5,20,0
C2,5,21,0
C2,5,22,0
C2,6,6,0
C2,6,7,0
C2,6,8,0
C2,6,9,0
C2,6,10,0
C2,6,11,0
C2,6,12,1
C2,6,13,0
C2,6,14,0
C2,6,15,0
C2,6,16,0
C2,6,17,0
C2,6,18,0
C2,6,19,0
C2,6,20,0
C2,6,21,0
C2,6,22,0
C3,0,6,0
C3,0,7,1
C3,0,8,1
C3,0,9,1
C3,0,10,1
C3,0,11,1
C3,0,12,0
C3,0,13,1
C3,0,14,1
C3,0,15,0
C3,0,16,1
C3,0,17,1
C3,0,18,0
C3,0,19,0
C3,0,20,0
C3,0,21,0
C3,0,22,0
C3,1,6,0
C3,1,7,0
C3,1,8,1
C3,1,9,1
C3,1,10,1
C3,1,11,0
C3,1,12,1
C3,1,13,1
C3,1,14,0
C3,1,15,1
C3,1,16,1
C3,1,17,0
C3,1,18,0
C3,1,19,0
C3,1,20,0
C3,1,21,0
C3,1,22,0
C3,2,6,0
C3,2,7,1
C3,2,8,1
C3,2,9,0
C3,2,10,1
C3,2,11,1
C3,2,12,1
C3,2,13,0
C3,2,14,1
C3,2,15,1
C3,2,16,0
C3,2,17,1
C3,2,18,0
C3,2,19,0
C3,2,20,0
C3,2,21,0
C3,2,22,0
C3,3,6,0
C3,3,7,1
C3,3,8,1
C3,3,9,1
C3,3,10,0
C3,3,11,1
C3,3,12,0
C3,3,13,1
C3,3,14,1
C3,3,15,1
C3,3,16,1
C3,3,17,0
C3,3,18,0
C3,3,19,0
C3,3,20,0
C3,3,21,0
C3,3,22,0
C3,4,6,0
C3,4,7,1
C3,4,8,1
C3,4,9,1
C3,4,10,1
C3,4,11,1
C3,4,12,1
C3,4,13,0
C3,4,14,1
C3,4,15,1
C3,4,16,1
C3,4,17,1
C3,4,18,1
C3,4,19,0
C3,4,20,0
C3,4,21,0
C3,4,22,0
C3,5,6,0
C3,5,7,0
C3,5,8,0
C3,5,9,1
C3,5,10,0
C3,5,11,1
C3,5,12,0
C3,5,13,0
C3,5,14,1
C3,5,15,0
C3,5,16,0
C3,5,17,0
C3,5,18,0
C3,5,19,0
C3,5,20,0
C3,5,21,0
C3,5,22,0
C3,6,6,0
C3,6,7,0
C3,6,8,0
C3,6,9,0
C3,6,10,0
C3,6,11,0
C3,6,12,0
C3,6,13,1
C3,6,14,0
C3,6,15,0
C3,6,16,0
C3,6,17,0
C3,6,18,0
C3,6,19,0
C3,6,20,0
C3,6,21,0
C3,6,22,0
D1,0,6,0
D1,0,7,1
D1,0,8,1
D1,0,9,1
D1,0,10,1
D1,0,11,1
D1,0,12,0
D1,0,13,1
D1,0,14,1
D1,0,15,1
D1,0,16,1
D1,0,17,1
D1,0,18,0
D1,0,19,0
D1,0,20,0
D1,0,21,0
D1,0,22,0
D1,1,6,0
D1,1,7,0
D1,1,8,1
D1,1,9,1
D1,1,10,1
D1,1,11,1
D1,1,12,0
D1,1,13,1
D1,1,14,1
D1,1,15,1
D1,1,16,0
D1,1,17,1
D1,1,18,0
D1,1,19,0
D1,1,20,0
D1,1,21,0
D1,1,22,0
D1,2,6,0
D1,2,7,1
D1,2,8,1
D1,2,9,1
D1,2,10,0
D1,2,11,1
D1,2,12,1
D1,2,13,1
D1,2,14,0
D1,2,15,1
D1,2,16,1
D1,2,17,0
D1,2,18,0
D1,2,19,0
D1,2,20,0
D1,2,21,0
D1,2,22,0
D1,3,6,0
D1,3,7,1
D1,3,8,1
D1,3,9,0
D1,3,10,1
D1,3,11,1
D1,3,12,1
